,University,Country
146,University of Technology Sydney,"Haymarket, Australia"
147,University of Technology Sydney,"Haymarket, Australia"
148,Arizona State University,"Tempe, United States"
149,National Tsing Hua University,"Hsinchu City, Taiwan"
150,New York University (NYU),"New York City, United States"
151,Sungkyunkwan University (SKKU),"Suwon, South Korea"
152,Cairo University,"Giza, Egypt"
153,The University of Adelaide,"Adelaide, Australia"
154,The University of Auckland,"Auckland, New Zealand"
155,Nanjing University,"Nanjing, China (Mainland)"
156,Université Grenoble Alpes,"Grenoble, France"
157,Newcastle University,"Newcastle upon Tyne, United Kingdom"
158,Aalborg University,"Aalborg, Denmark"
159,The University of Warwick,"Coventry, United Kingdom"
160,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina"
161,Universitat de Barcelona,"Barcelona, Spain"
162,University of Calgary,"Calgary, Canada"
163,University of Calgary,"Calgary, Canada"
164,University of Minnesota Twin Cities,"Minneapolis, United States"
165,Michigan State University,"East Lansing, United States"
166,Universitat Politecnica de Valencia,"València, Spain"
167,City University of Hong Kong,Hong Kong SAR
168,ITMO University,"St. Petersburg, Russia"
169,Institut National des Sciences Appliquées de Lyon (INSA),"Lyon, France"
170,Beijing Institute of Technology,"Beijing, China (Mainland)"
171,Qatar University,"Doha, Qatar"
172,Kyushu University,"Fukuoka City, Japan"
173,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan"
174,"University of California, Davis","Davis, United States"
175,IMT Atlantique,"Nantes, France"
176,RMIT University,"Melbourne, Australia"
177,University of Glasgow,"Glasgow, United Kingdom"
178,Aalto University,"Espoo, Finland"
179,Aalto University,"Espoo, Finland"
180,University of Florida,"Gainesville, United States"
181,Universität Stuttgart,"Stuttgart, Germany"
182,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia"
183,National Taipei University of Technology,"Taipei City, Taiwan"
184,Queen's University at Kingston,"Kingston, Canada"
185,Technical University of Darmstadt,"Darmstadt, Germany"
186,The University of Western Australia,"Perth, Australia"
187,Wuhan University,"Wuhan, China (Mainland)"
188,Bauman Moscow State Technical University,"Moscow, Russia"
189,Indian Institute of Technology Roorkee (IITR),"Roorkee, India"
190,Ecole des Ponts ParisTech,"Paris, France"
191,Hokkaido University,"Sapporo, Japan"
192,Nagoya University,"Nagoya, Japan"
193,Università di Padova,"Padova, Italy"
194,National Cheng Kung University (NCKU),"Tainan City, Taiwan"
195,National Cheng Kung University (NCKU),"Tainan City, Taiwan"
196,Tongji University,"Shanghai, China (Mainland)"
197,"Trinity College Dublin, The University of Dublin","Dublin, Ireland"
198,University of Lisbon,"Lisbon, Portugal"
199,Cranfield University,"Bedford, United Kingdom"
200,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil"
201,Loughborough University,"Loughborough, United Kingdom"
